price,bt,Kms Driven,owner,Year of Manufacture,Mileage,RTO,Fuel Type,Registration Year,modelYear,Insurance Validity,Gear Box,Transmission,Seats,City,Engine Displacement
₹ 18.90 Lakh,SUV,"30,000 Kms",1st Owner,2021,18.9,KA51,Petrol,Jul 2021,2021,Comprehensive,6-Speed DCT,Automatic,5 Seats,bangalore,1451 cc
₹ 12.75 Lakh,SUV,"27,000 Kms",1st Owner,2018,13.0,KA04,Petrol,Mar 2018,2018,Third Party insurance,6 Speed,Automatic,5 Seats,bangalore,1591 cc
₹ 2.75 Lakh,Hatchback,"90,000 Kms",3rd Owner,2010,19.2,KA01,Petrol,2010,2010,Third Party insurance,4 Speed,Automatic,5 Seats,bangalore,1197 cc
₹ 11.25 Lakh,Sedan,"20,000 Kms",1st Owner,2022,17.4,KA50,Petrol,2022,2022,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1497 cc
₹ 6.50 Lakh,Sedan,"82,998 Kms",1st Owner,2016,18.0,KA01,Petrol,Mar 2016,2016,Comprehensive,5 Speed CVT,Automatic,5 Seats,bangalore,1497 cc
₹ 7 Lakh,Sedan,"1,10,000 Kms",3rd Owner,2010,12.3,KA51,Petrol,2010,2010,Third Party insurance,7 Speed,Automatic,5 Seats,bangalore,1781 cc
₹ 11 Lakh,Sedan,"14,500 Kms",1st Owner,2019,17.14,KA03,Petrol,2019,2019,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1497 cc
₹ 2.60 Lakh,Sedan,"1,20,000 Kms",3rd Owner,2016,21.03,KA05,Diesel,2016,2016,Third Party insurance,5-Speed,Manual,5 Seats,bangalore,1461 cc
₹ 3.95 Lakh,Hatchback,"68,000 Kms",2nd Owner,2010,19.2,KA51,Petrol,Aug 2010,2010,Comprehensive,4 Speed,Automatic,5 Seats,bangalore,1197 cc
₹ 6.81 Lakh,Sedan,"25,887 Kms",1st Owner,2019,20.14,KA63,Petrol,Nov 2019,2019,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 4.05 Lakh,Hatchback,"74,094 Kms",1st Owner,2020,21.7,KA04,Petrol,Jul 2020,2020,Comprehensive,5 Speed,Manual,5 Seats,bangalore,998 cc
₹ 7.65 Lakh,Hatchback,"40,000 Kms",1st Owner,2018,19.0,KA03,Petrol,Jun 2018,2018,Comprehensive,5 Speed,Automatic,5 Seats,bangalore,1199 cc
₹ 4.87 Lakh,Hatchback,"91,045 Kms",1st Owner,2014,23.2,KA05,Diesel,Nov 2014,2014,Third Party,5 Speed,Manual,5 Seats,bangalore,1248 cc
₹ 14.74 Lakh,SUV,"80,033 Kms",1st Owner,2018,15.1,KA51,Diesel,Feb 2019,2018,Third Party insurance,6 Speed,Manual,7 Seats,bangalore,2179 cc
